id,name,score,publisher,developer,follow,topic,review,install
1859,Tap! Match3,,Monthly 23,,3,,
1860,玩具机器人大战：机器冰龙,,acool,,230,,
1864,Picross FuryCat - Nonograms,,Nodis,,16,,
1868,找茬之王,7.8,mobirix,,918,,7
1873,第一战略 游离 (SRPG),9.1,FiveFinger,,1800,1,27
1878,Tap! Tap! Faraway KingdomKR,8.9,Dinocooler,,4072,5,59
1882,Hero Hearts,,BiCORE,,16,,2
1884,小鸭子,,Snake Oil Studios,,57,,4
2109,指神,,Goodia Inc.,,366,,3
2111,勇者山田君,7.8,DMMGAMES,,761,8,15
2112,30秒で通勤する方法?八王子から東京駅まで?究極のバカゲー,,Choi Choi Adventure,,14,,3
2114,創造カノジョ～10人の理想の彼女たち～恋愛＊放置＊育成ゲーム,10,SEEC inc.,,916,1,9
2115,歪みの国のアリス～アンコール,,(C) SUNSOFT,,60,1,4
2116,牛郎的危险世界,9.4,ESC-APE by SEEC,,7617,18,205
2118,助けてください～既読スルー禁止～,,トムソン,,23,,1
2119,脱出ゲーム　YUME　悪夢からの脱出,,あそびごころ。,,115,1,5
2120,ダメ悪魔、ダメ男に惚れる【放置】,,Cybergate Technology Limited,,34,,5
2121,ストレス診断,,SUGAPPS,,5,,
2122,Eat Game,9.7,Cybergate Technology Limited,,66,,8
2123,リセマラ勇者-RPG風放置ゲーム-,8.9,GenieUs,,223,,6
2124,リーダーシップ診断,,Testii,,10,,
2125,トニーくんのスーパーホッピング,,hasegawa takuji,,1,,
2126,THREE LINES - TRY QUICKER,,MercuryStudio,,14,,1
2127,謎解き ジェスチャーゲーム - 何してる？,,EBISAN.apps,,,,
2128,脱出ゲーム：双子の悪戯,,WaveA PTE.LTD.,,33,,1
2129,Dragon x Dragon -City Sim Game,8.8,GiantMonster,,551,,8
2131,中华美食 - 宝宝巴士,9.3,BabyBus Kids Games,,10588,1,14
2132,Diet Zoo,,good-place,,,,
2133,もやしびとDX - 衝撃のもやし育成,,"GOODROID,Inc.",,101,,4
2135,大合戦!ねこ島奮闘記~超ハマる街発展×バトルゲーム~,,Chronus S Inc.,,9,,
2136,Star Trek Timelines,9.5,Disruptor Beam,,738,3,17
2137,逃脱游戏废墟探索,,ToiGames,,56,,3
2138,水族馆~快乐的养鱼游戏~,,Chronus F Inc.,,243,1,5
2140,攻略速報 - 妖怪ウォッチぷにぷに,,gameguidedev,,7,,
2142,QuickRogue - 放置できるダンジョンRPG,,SunnyWardGames,,270,,1
2144,Under Story ?童話世界の勇者たち?,,3rdKind Inc.,,19,,2
2145,密室逃脱 : Doors&Rooms 零,8.8,Gameday Inc.,,717,,8
2146,Escape Games Day-159,,EscapeGamesFun,,,,
2147,Gem Knights,,MGAME JAPAN Corp.,,3,,2
2148,NUIGURUMI CATCHER,,Unimate,,1,,
