id,name,score,publisher,developer,follow,order,topic,review,install,recommend
1565,泡泡气球射击,,Classic Bubble Shooter,,8,,,,,
1569,GUNSHIP BATTLE：直升機 3D Action,7.8,JOYCITY Corp.,,8636,,4,68,,
1570,Brick Completion Task Now,,Aloysius Amory,,,,,,,
1571,惡靈獵人,,Ko.game,,44,,,3,,
1573,怪盗找东西,,Small Factory,,175,,1,2,,
1574,進擊吧！三國－2017也要進擊一下,,OhMyGod HK,,79,,,3,,
1578,拳皇97OL,4.3,G妹遊戲,,2834,,2,24,,
1580,Th??ng Khung Chi M?ng,,VNG PG3,,9,,1,,,
1581,有殺氣童話 - 全面啟動跨服爭霸賽 即刻登入送橙裝英雄,8.1,Game Dreamer Limited,,556,,1,10,,
1582,魔女異聞錄,7,大宇遊戲,,963,,4,40,,
1584,Hortensia Saga 蒼之騎士團TW,9.5,SEGA,,3974,,1,53,,
1585,POPONG!,9.7,111%,,16941,,39,262,,
1586,奇蹟MU-王者歸來 狼魂要塞,,Kimi Entertainment,,189,,1,4,,
1587,快打旋風　聯合出擊,,TEEPLAY Interactive Limited,,53,,,2,,
1588,口袋冒險島,2.1,"Funmily Corp., Ltd",,253,,,6,,
1589,仙入凡尘,,EYOUGAME,,13,,,,,
1590,龍戰部落,,Elex Wireless,,60,,,2,,
1591,Defender II,10,DroidHen,,571,,,12,,
1594,全民枪战2,6.2,英雄互娱,,138159,,355,1922,378212,
1596,刀鋒無雙 - 萬人競技,,1767Game一起遊戲,,18,,,,,
1598,我的后宫时代,6.4,X.D. Global,,3713,,10,65,,
1600,連阿嬤都在玩-甲上英雄A+hero,,taichigamer,,4,,,,,
1602,Garena雷霆戰機-星際遠征,8.8,Garena Games Online,,1299,,2,33,,
1603,霹靂傳奇(不刪檔測試),,Inch Interactive Entertainment(TW) Ltd,,48,,,2,,
1604,Super Jungle World,,Lupin Game,,3,,,,,
1605,武神關聖: 傳奇水域戰場,,Elex,,26,,,1,,
1606,七骑士TW,9.2,Netmarble Games,,104424,,3613,1871,,
1611,糖果萌萌消,,Clean Master Games,,863,,,3,,
1613,小小冒險-女神召集,,58PLAY,,17,,,1,,
1614,決戰聖域,8.5,"LemonGame Co., Ltd.",,781,,6,13,,
1618,夢王國與沉睡中的100位王子殿下【療癒系手遊夢100】TW,9.4,FunTown Hong Kong Limited,,2319,,,25,,
1619,盜夢英雄,,"FunApps Co., Ltd.",,33,,,,,
1620,星舞時代,,BIGFISH,,65,,,5,,
1622,犬夜叉 尋玉之旅TW,5.9,Infinite Co,,81,,,13,,
1623,開心水族箱,9.8,乐元素科技(北京)股份有限公司,,2867,,14,177,,
1624,LINE FANTASY HEROES,,LINE Corporation,,32,,,1,,
1625,LINE: ONE PIECE 秘宝寻航,8.8,LINE Corporation,,5415,,24,42,,
1626,战龙守护者-实时PK英雄竞技手游,,Digital Sky Entertainment Ltd.,,28,,,2,,
1630,九陰真經-丐世無雙,,AiCombo,,129,,,2,,
1631,神庙逃亡2-繁中升级版,8,iDreamsky Hong Kong,,8876,,2,41,,
1632,後宮甄嬛傳,,"Winner Digital Co., Ltd",,177,,,5,,
1633,粒粒冰工廠,,Minimelts Asia Limited,,12,,,1,,
1635,冒險王,,GameBoss黑馬數位,,107,,1,3,,
1637,囧囧風十郎 - 百萬人下載達成，春節最大改版！,,UQSOFT  TAIWAN,,16,,1,2,,
1638,英雄出任务-暴走系连击战斗RPG,,"Taiwan Kuro Times Co.,Ltd",,14,,,1,,
1639,牙齒保衛戰,,推薦神作僅此一家,,10,,,1,,
1640,神之榮耀-九龍爭霸,,Ssjj Game,,18,,,,,
1641,OPUS：地球计划,8.5,椰岛游戏,SIGONO,177463,,127,1597,200164,yes
1644,怪物弹珠TW,9.1,"mixi, Inc.",,26195,,259,272,,
1645,紅白大冒險-聖光力量,,遊戲盒子數位有限公司,,31,,,2,,
1646,拳皇98 終極之戰OLTW,7,"SMART ALEC CO., LTD",,2663,,22,56,,
1648,戀舞TW,4.9,Game Dreamer Limited,,936,,,13,,
1649,疯跑英雄OL,,FWAN.CO,,19,,,,,
1652,天上天下,,BELRED TECHNOLOGY COMPANY LIMITED,,33,,1,2,,
1653,十萬個冷笑話-轉吧!七彩葫蘆娃~,,「袪傷解鬱；透暢中氣」之有笑公測,,145,,,2,,
1654,Hammer Time!,,The Binary Mill,,36,,,,,
1655,雄霸天地-最勝三國策略手遊,,Digital Sky Entertainment Ltd.,,16,,,,,
1656,Efun-天龍八部3D-萬代宗師,,Inch Interactive Entertainment(TW) Ltd,,43,,,,,
1662,钓鱼大师 : 第五季,8.9,GAMEVIL,,4108,,8,35,,
1663,《幻想編年史》3.0 星空之翼覺醒,3.7,8888PLAY,,323,,,11,,
1666,《大司馬》群雄並起,,遊戲酒吧,,15,,,3,,
1668,喵星人拼圖,,推薦神作僅此一家,,17,,,,,
1669,熹妃传TW,6,Palace Games Technology Ltd.,,2163,,1,53,,
1671,上吧！忍者 - 全中文版，2016最大改版盛大上線,,Ken Xuan,,70,,1,4,,
1674,女神天痕(再愛一次),,9SplayDeveloper,,6,,,,,
1675,LINE 旅遊大亨,8.6,LINE Corporation,,4044,,8,31,,
1676,砍殺吧！傭兵,,艾肯娛樂(香港)股份有限公司,,26,,,1,,
1681,星辰決-辜莞允NONO與你一起雙修練功,,Kingnet,,16,,,1,,
1682,姬戰無雙:少年三國志,7.8,艾肯娛樂(香港)股份有限公司,,1022,,,8,,
1685,汪星人拼圖,,Gemps,,13,,,,,
1686,仲謀天下 狼煙梟戰,,TurtulGame,,,,,,,
1688,彈彈堂,8.7,8888PLAY,,1628,,,23,,
1689,仙俠奇緣,,9SplayDeveloper,,24,,,,,
1690,星舞時代 熱力Dance,,BIGFISH,,15,,,,,
1691,Garena 雷霆突擊-周年慶改版，隨時隨地都想玩突擊!,6.4,Garena Games Online,,828,,2,17,,
1693,六龍御天,,Inch Interactive Entertainment(TW) Ltd,,207,,,3,,
1694,無限俠想：十四章書傳說,,Pubgame遊戲酒吧,,31,,,,,
1695,石头传奇,,easygame7,,305,,,2,,
1696,超神戰記-GANK! 英雄重返榮耀,8.8,"FunApps Co., Ltd.",,996,,3,35,,
